Product Name,Brand,Category/Type,Ingredients,Size/Packaging,Product Image URL,Product Page URL,Manufacturer URL,Snippet,Enrichment Source
"ABIB – Heartleaf Creme Calming Tube, 75ml",ABIB,Bulk Moisturizer,"Heartleaf (Houttuynia Cordata) Extract
– provides anti-inflammatory and antibacterial benefits, soothing redness and irritation while helping to regulate sebum production.
Centella Asiatica Extract
– promotes skin healing, strengthens the barrier, and calms inflammation.
Panthenol (Vitamin B5)
– hydrates, softens, and soothes the skin, maintaining long-lasting comfort.
Allantoin
– protects sensitive skin, smooths texture, and supports regeneration.
Hyaluronic Acid
– delivers intense hydration, k...",75 ml,https://qudobeauty.com/wp-content/uploads/2025/04/ABIB-Heartleaf-Creme-Calming-Tube-75ml-PURESEOUL-UK-KBeauty-Shop-600x600.webp,https://qudobeauty.com/product/abib-heartleaf-creme-calming-tube-75ml/,https://en.abib.com/products/calming-tube,"Heartleaf cream Calming tube. Breakouts & Acne, Pore & Oil Control, and Redness & Sensitivity. Heartleaf cream Calming tube. 75ml / 2.54 fl.oz. Regular price ...",Google API
"ABIB – Heartleaf TECA Capsule Serum Calming Drop, 50ml",ABIB,Bulk Serums,"Heartleaf (Houttuynia Cordata) Extract
– provides anti-inflammatory and antibacterial properties, helping to soothe and protect irritated or acne-prone skin.
TECA (Centella Asiatica Extract Complex: Madecassoside, Asiaticoside, Asiatic Acid, Madecassic Acid)
– calms inflammation, promotes healing, and strengthens the skin barrier.
Panthenol (Vitamin B5)
– deeply hydrates and soothes, improving elasticity and reducing dryness.
Niacinamide (Vitamin B3)
– brightens the complexion, refines pores, an...",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/AbibHeartleafTecaCapsuleSerumCalmingDrop50ml-1.webp,https://qudobeauty.com/product/abib-heartleaf-teca-capsule-serum-calming-drop-50ml/,https://en.abib.com/products/teca-capsule-calming-drop,Key Points 1. TECA Capsule: The Concentrated Extract of Centella Asiatica – An enhanced formula for optimal soothing and targeted skin repair. 2.,Google API
"ABIB – Glutathiosome Dark Spot Serum Vita Drop, 50ml",ABIB,Bulk Serums,"Glutathione
– a powerful antioxidant that brightens the skin, reduces pigmentation, and protects against free radical damage.
Niacinamide (Vitamin B3)
– visibly brightens the complexion, refines pores, and strengthens the skin barrier.
Vitamin Complex (B5, C, E)
– revitalizes and nourishes the skin while improving clarity and resilience.
Alpha-Arbutin
– helps fade dark spots and discoloration for a more even skin tone.
Adenosine
– supports skin elasticity and smoothness, providing anti-aging ben...",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/thumb_VD-600x600.webp,https://qudobeauty.com/product/abib-glutathiosome-dark-spot-serum-vita-drop-50ml/,https://en.abib.com/products/vita-drop,Abib Glutathiosome Dark Spot Serum ​is a brightening serum with glutathione and vitamin C that targets dark spots and evens skin tone for a radiant ...,Google API
ABIB – Airy Sunstick SPF50+ PA++++,ABIB,SPF Wholesale,"SPF50+ / PA++++ UV Filters
– offer strong, broad-spectrum protection against UVA and UVB rays, preventing sunburn and skin aging.
Centella Asiatica Extract
– calms irritation, reduces redness, and supports the skin’s natural healing process.
Ceramide NP
– reinforces the skin barrier and prevents moisture loss during sun exposure.
Aloe Vera Leaf Extract
– soothes and hydrates the skin, providing comfort throughout the day.
Hyaluronic Acid
– delivers lightweight hydration and keeps the skin smooth...",see packaging.,https://qudobeauty.com/wp-content/uploads/2025/04/SB-A__Thumb_337754de-d25e-47b5-b3c9-d8e6a7eb9da8-600x600.webp,https://qudobeauty.com/product/abib-tone-up-quick-smoothing-sunstick-bar-spf50-pa/,https://www.amazon.com/Abib-Smoothing-Non-Sticky-Protection-Long-lasting/dp/B0C45CK57M,"Amazon.com: Abib Airy Sunstick Protection Bar Broad Spectrum SPF50+ 0.81 oz / 23 g (Semi-matte) | Korean Suncreen Stick Suncare Sunblock, No Whitecast, ...",Google API
"ABIB – Gum Sheet Mask Collagen Milk Sticker, 1ea",ABIB,Face Masks Wholesale,"Hydrolyzed Collagen
– boosts firmness and elasticity, helping to smooth and plump fine lines.
Milk Extract
– rich in proteins and vitamins, deeply nourishes and softens the skin for a radiant complexion.
Niacinamide (Vitamin B3)
– brightens dull skin tone and improves uneven pigmentation.
Adenosine
– supports anti-aging care by reducing the appearance of wrinkles and improving skin resilience.
Panthenol (Vitamin B5)
– soothes and moisturizes, maintaining a soft and smooth texture.
Hyaluronic Aci...",1 sheet (27 ml),https://qudobeauty.com/wp-content/uploads/2025/04/Abib-Gummy-Sheet-Mask-Collagen-Milk-Sticker-sentisenti-600x600.webp,https://qudobeauty.com/product/abib-gum-sheet-mask-collagen-milk-sticker-1ea/,https://qudobeauty.com/cat/wholesale-face-care/face-masks-beauty/,"Face Masks Wholesale · ABIB - Gum Sheet Mask Collagen Milk Sticker, 1ea · ABIB - Gummy Sheet Mask Madecassoside Sticker, 27ml · AXIS-Y - Mugwort Pore Clarifying ...",Google API
"ABIB – Jericho Rose Bifida Serum Firming Drop, 50ml",ABIB,Bulk Serums,"Jericho Rose Extract
– a desert plant known for its exceptional ability to retain moisture; revitalizes and hydrates dry, fatigued skin.
Bifida Ferment Lysate
– a probiotic ingredient that strengthens the skin barrier, enhances elasticity, and improves resistance to external stressors.
Adenosine
– smooths fine lines and supports skin elasticity for a firmer appearance.
Niacinamide (Vitamin B3)
– brightens dull skin and helps even out the complexion.
Hyaluronic Acid
– provides long-lasting hydrat...",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/Abib-Jericho-Rose-Bifida-Serum-Firming-Drop-50ml-600x600.jpg,https://qudobeauty.com/product/abib-jericho-rose-bifida-serum-firming-drop-50ml/,https://en.abib.com/products/firming-drop,"Jericho rose bifida serum Firming drop ... Ceramides and skin lipids to relieve inner dryness and refine flaky skin. ... Improve the appearance of wrinkles, as well ...",Google API
"ABIB – Heartleaf Essence Calming Pump, 50ml",ABIB,Bulk Serums,"Heartleaf (Houttuynia Cordata) Extract 80%
– delivers powerful anti-inflammatory and antibacterial benefits, reducing redness, irritation, and acne.
Centella Asiatica Extract
– calms and repairs damaged skin, promoting a healthy, balanced complexion.
Panthenol (Vitamin B5)
– provides moisture and strengthens the skin barrier to prevent dryness and irritation.
Hyaluronic Acid
– deeply hydrates and helps retain moisture for smooth, supple skin.
Allantoin
– soothes and protects sensitive skin while...",50 ml,https://qudobeauty.com/wp-content/uploads/2025/04/heartleaf-essence-calming-50ml-600x726-1.jpg,https://qudobeauty.com/product/abib-heartleaf-essence-calming-pump-50ml/,https://en.abib.com/products/calming-pump-1,"Heartleaf essence Calming pump · Feature Image 1. Soothing & Hydrating. Reduce redness, calm acne breakouts · Feature Image 2. Lightweight, fast-absorbing formula.",Google API
"ABIB – Jericho Rose Collagen Pad Firming Touch, 250ml 60pads",ABIB,Cleanser Wholesale,"Jericho Rose Extract
– known for its exceptional water-retaining power, it hydrates and revitalizes dry, tired skin.
Hydrolyzed Collagen
– enhances elasticity, firms the skin, and helps reduce visible wrinkles.
Peptide Complex
– promotes collagen production, supports skin resilience, and improves smoothness.
Niacinamide (Vitamin B3)
– brightens the complexion and evens out skin tone.
Adenosine
– smooths fine lines and supports anti-aging benefits.
Hyaluronic Acid
– delivers long-lasting hydratio...",250 ml (60 pads),https://qudobeauty.com/wp-content/uploads/2025/04/jericho-rose-collagen-pad-firming-touch-dischete-hidratante-250-ml_26090_1_1718860990-600x600.webp,https://qudobeauty.com/product/abib-jericho-rose-collagen-pad-firming-touch-250ml-60pads/,https://en.abib.com/products/firming-touch,Abib Firming Touch is a collagen pad with Jericho rose extract and hyaluronic acid for deep hydration and firming. It enhances elasticity and reduces fine ...,Google API
"ABIB – Gummy Sheet Mask #Vita Sticker, 27ml",ABIB,Face Masks Wholesale,"Multi-Vitamin Complex (B3, B5, B7, B9, C, E)
– helps brighten dull skin, improve tone, and protect from oxidative stress.
Niacinamide (Vitamin B3)
– visibly brightens and refines skin texture, reducing the look of dark spots.
Vitamin C Derivative
– enhances radiance and promotes an even complexion.
Panthenol (Vitamin B5)
– moisturizes and soothes the skin while strengthening its barrier.
Hyaluronic Acid
– provides deep hydration and keeps the skin plump and smooth.
Allantoin
– calms and comforts...",27 ml (1 sheet),https://qudobeauty.com/wp-content/uploads/2025/04/Abib-Gummy-Sheet-Mask-Vita-Sticker--600x600.webp,https://qudobeauty.com/product/abib-gummy-sheet-mask-vita-sticker-27ml/,https://en.abib.com/products/vita-sticker-10-sheets,"Gummy sheet mask Vita sticker(10 sheets) · Feature Image 1. Brightening & Dark Spot Care. Powered by Niacinamide, and Vitamin C · Feature Image 2. Innovation for ...",Google API
"ABIB – Heartleaf Calming Toner Skin Booster, 200ml/6.76oz",ABIB,Bulk Toners,"Heartleaf (Houttuynia Cordata) Extract 80%
– renowned for its strong anti-inflammatory and antibacterial properties, it soothes sensitive skin and helps calm breakouts.
Centella Asiatica Extract
– promotes healing, reduces redness, and strengthens the skin barrier.
Panthenol (Vitamin B5)
– hydrates and soothes irritation while reinforcing barrier protection.
Hyaluronic Acid
– provides deep hydration and locks in moisture for long-lasting comfort.
Allantoin
– calms irritation, leaving the skin so...",200 ml / 6.76 oz,https://qudobeauty.com/wp-content/uploads/2025/04/website-1841beab-dd7e-4d1b-9e2c-04bc86e2686f-600x600.webp,https://qudobeauty.com/product/abib-heartleaf-calming-toner-skin-booster-200ml-6-76oz/,https://midwestyouthchampionships.com/products/abib-heartleaf-calming-toner-skin-booster-200ml676oz/201469550/,"8 days ago ... A deeply hydrating, soothing & calming facial toner for tired skin Formulated with Heartleaf(50000ppm) harvested from the Mountain Jiri in ...",Google API
